g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
40,60,5002,795407,473634,130105,276549,87278,49211,0
40,60,5143,863900,545672,133526,289626,93501,54834,0
40,60,5005,795630,440780,124187,260289,88954,49978,0
40,60,4964,833246,438588,122477,272073,86361,49124,0
40,60,4795,748317,437090,123524,246653,81885,48800,0
40,60,4810,813081,451363,125717,252582,89594,48693,0
40,60,5053,806464,446798,124595,264513,90542,50207,0
40,60,4967,799655,455017,125870,261066,93702,52530,0
40,60,5052,843043,450141,123703,276894,87609,52150,0
40,60,5109,812486,502052,125350,280492,92703,52333,0
,MEDIA,4990,"811122,9","464113,5","125905,4","268073,7","89212,9",50786,0
