g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
40,40,756,23483,32619,4720,13462,7135,3688,0
40,40,763,20252,24605,4146,13047,6929,3596,0
40,40,783,24030,30059,5282,14987,7328,3828,0
40,40,802,24867,31284,5040,15379,7444,3903,0
40,40,815,27380,33141,5821,16249,7729,3986,0
40,40,815,24180,27345,5189,14564,7464,3780,0
40,40,700,18885,22424,3688,11938,6306,3346,0
40,40,747,22490,26385,4311,13045,6711,3563,0
40,40,793,24601,26188,4640,14244,7090,3577,0
40,40,729,20978,23206,3952,12529,6500,3450,0
,MEDIA,"770,3","23114,6","27725,6","4678,9","13944,4","7063,6","3671,7",0
