g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,300,2666,6005,2099,93,425,10661,4072,0
10,300,2653,5964,2075,91,429,10463,4170,0
10,300,2648,5875,2026,88,421,10723,4034,0
10,300,2595,5857,2040,86,418,10239,4048,0
10,300,2614,5887,2031,87,422,10488,3966,0
10,300,2641,5878,2042,89,425,10389,3997,0
10,300,2637,5956,2046,90,424,10641,3966,0
10,300,2600,5868,2026,87,419,10279,3974,0
10,300,2620,6013,2158,91,450,11390,4202,0
10,300,2986,6220,2247,100,450,11754,4358,0
,MEDIA,2666,"5952,3",2079,"90,2","428,3","10702,7","4078,7",0
