g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,100,138,215,242,5,50,628,185,5713
10,100,102,208,235,5,47,604,180,5372
10,100,106,219,239,5,49,608,185,5523
10,100,101,214,241,5,50,621,181,5478
10,100,104,212,239,5,50,629,189,5604
10,100,102,212,240,5,48,605,186,5462
10,100,106,215,246,5,50,633,191,5792
10,100,109,225,249,6,51,668,192,6096
10,100,98,198,225,5,46,582,177,4942
10,100,105,214,238,5,49,626,185,5709
,MEDIA,"107,1","213,2","239,4","5,1",49,"620,4","185,1","5569,1"
