g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,450,8604,19319,4359,221,865,27131,12224,0
10,450,8663,19270,4327,220,860,27442,12245,0
10,450,8659,19381,4376,227,869,27166,12516,0
10,450,8699,19425,4348,228,872,27411,12391,0
10,450,8690,19426,4374,230,868,27418,12672,0
10,450,8627,19372,4306,230,873,27314,11955,0
10,450,8641,19198,4347,222,872,27265,12432,0
10,450,8566,19089,4264,218,853,27098,12476,0
10,450,8614,19304,4347,228,868,27013,12266,0
10,450,8574,19243,4330,226,865,27192,12736,0
,MEDIA,"8633,7","19302,7","4337,8",225,"866,5",27245,"12391,3",0
