MEDIA,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent

10,150,340,703,525,15,109,1725,542,0,
10,150,349,697,517,15,106,1845,572,0,
10,150,320,714,535,16,109,1731,552,0,

10,150,317,694,515,16,108,1695,544,0,
10,150,319,680,515,15,104,1703,524,0,
10,150,385,777,632,17,117,2012,619,0,
10,150,354,776,576,17,117,2045,603,0,
10,150,362,717,531,16,110,1862,570,0,
10,150,330,700,518,16,106,1793,570,0,
