g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
20,80,382,1198,1539,136,531,2962,1105,0
20,80,483,1544,1884,181,680,2668,1342,0
20,80,397,1203,1478,136,535,2446,1016,0
20,80,406,1286,1553,153,569,2528,1084,0
20,80,392,1215,1461,137,535,2447,1006,0
20,80,385,1193,1476,134,522,2395,1021,0
20,80,401,1247,1519,144,551,2480,1060,0
20,80,415,1274,1515,148,567,2584,1076,0
20,80,391,1194,1476,137,532,2453,1013,0
20,80,388,1187,1474,133,524,2403,1032,0
,MEDIA,404,"1254,1","1537,5","143,9","554,6","2536,6","1075,5",0
