g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
30,100,5970,209621,99975,31842,69105,52502,28861,0
30,100,5962,208100,98037,33465,63480,52129,29321,0
30,100,6130,214956,105935,36495,68855,54842,30223,0
30,100,6033,205390,104463,32429,64981,53583,28678,0
30,100,5897,201750,100228,33925,63325,53176,28333,0
30,100,5674,184309,91061,30089,55783,48705,26158,0
30,100,5952,203474,99057,31740,63356,52099,28488,0
30,100,6126,207541,104757,33397,66638,55295,29562,0
30,100,5992,202759,107681,32311,70480,54435,29758,0
30,100,6112,211849,105831,33844,67415,54811,29485,0
,MEDIA,"5984,8","204974,9","101702,5","32953,7","65341,8","53157,7","28886,7",0
