g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
30,80,2487,38823,28832,6848,14589,18314,9548,0
30,80,2510,3995,27738,7045,16743,18149,10054,0
30,80,2535,41635,29765,7491,15492,18786,9766,0
30,80,2529,40440,30686,7532,15245,18847,10056,0
30,80,2676,36485,28261,7474,13803,20438,9548,0
30,80,2523,38631,28911,7551,15652,18666,9585,0
30,80,2449,37413,29364,7270,15133,18238,9718,0
30,80,2501,39580,29891,7723,16097,19011,9858,0
30,80,2486,36423,29397,7212,14586,18264,9626,0
30,80,2533,39946,30153,7317,15933,18783,9932,0
,MEDIA,"2522,9","35337,1","29299,8","7346,3","15327,3","18749,6","9769,1",0
