g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
40,80,18497,0,0,807341,0,515324,308661,0
40,80,17988,0,0,810180,0,535683,324813,0
40,80,18825,0,0,862367,0,561152,337571,0
40,80,18607,0,0,827874,0,524214,316207,0
40,80,17693,0,0,793025,0,536753,325962,0
40,80,18353,0,0,817722,0,539284,328334,0
40,80,19394,0,0,903839,0,600792,358813,0
40,80,18251,0,0,826863,0,528261,315742,0
40,80,18077,0,0,820082,0,530676,318397,0
40,80,17910,0,0,805411,0,550187,335853,0
,MEDIA,"18359,5",0,0,"827470,4",0,"542232,6","327035,3",0
