g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,250,1464,3286,1449,60,299,6534,2356,0
10,250,1455,3279,1441,56,299,6513,2338,0
10,250,1462,3260,1438,58,298,6506,2378,0
10,250,1448,3265,1430,57,302,6651,2322,0
10,250,1480,3308,1456,58,301,6616,2401,0
10,250,1486,3295,1461,59,302,6680,2342,0
10,250,1489,3317,1454,59,306,6703,2366,0
10,250,1455,3271,1432,57,299,6569,2317,0
10,250,1436,3245,1431,57,297,6468,2282,0
10,250,1467,3326,1452,59,303,6675,2353,0
,MEDIA,"1464,2","3285,2","1444,4",58,"300,6","6591,5","2345,5",0
