g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,400,6156,13654,3480,170,712,20370,9010,0
10,400,6150,13837,3528,173,708,20686,9058,0
10,400,6002,13593,3490,168,707,20144,8731,0
10,400,6109,13814,3520,173,705,20629,9094,0
10,400,6129,13778,3525,178,714,20672,9012,0
10,400,6069,13757,3495,173,700,20350,8879,0
10,400,6090,13654,3490,174,695,20563,8756,0
10,400,6112,13831,3513,174,702,20733,8987,0
10,400,6107,13763,3535,173,715,20176,8814,0
10,400,6057,13654,3480,168,706,20455,9016,0
,MEDIA,"6098,1","13733,5","3505,6","172,4","706,4","20477,8","8935,7",0
